Państwo,Powierzchnia (km,Ludność,Gęstość zaludnienia (os/km,Stolica,UE,Rodzaj,id
Albania,28748,2 876 591,98.5,Tirana,false,Państwo niepodległe,al
Andora,468,77 281,179.8,Andora,false,Państwo niepodległe,ad
Austria,83871,8 823 054,104,Wiedeń,true,Państwo niepodległe,at
Belgia,30528,11 358 357,372.06,Bruksela,true,Państwo niepodległe,be
Białoruś,207600,9 504 700,45.8,Mińsk,false,Państwo niepodległe,by
Bośnia i Hercegowina,51197,3 531 159,68.97,Sarajewo,false,Państwo niepodległe,ba
Bułgaria,110879,7 101 859,64.9,Sofia,true,Państwo niepodległe,bg
Chorwacja,56594,3 871 833,68.4,Zagrzeb,true,Państwo niepodległe,hr
Czarnogóra,13812,642 550,45,Podgorica,false,Państwo niepodległe,me
Czechy,78867,10 610 947,134,Praga,true,Państwo niepodległe,cz
Dania,42933,6 001 008,139.25,Kopenhaga,true,Państwo niepodległe,dk
Estonia,45228,1 328 439,30.5,Tallinn,true,Państwo niepodległe,ee
Finlandia,338145,5 509 717,16,Helsinki,true,Państwo niepodległe,fi
Francja,551695,67 348 000,116,Paryż,true,Państwo niepodległe,fr
Grecja,131957,10 297 760,82,Ateny,true,Państwo niepodległe,gr
Hiszpania,505370,49 442 844,97,Madryt,true,Państwo niepodległe,es
Holandia,41543,17 271 990,414.9,Amsterdam,true,Państwo niepodległe,nl
Irlandia,70273,4 761 865,67.7,Dublin,true,Państwo niepodległe,ie
Islandia,103000,350 710,3.2,Reykjavík,true,Państwo niepodległe,is
Kazachstan,370400,20 075 271,7,Astana,false,Państwo niepodległe,kz
Liechtenstein,160,38 111,227,Vaduz,true,Państwo niepodległe,li
Litwa,65300,2 800 667,45.8,Wilno,true,Państwo niepodległe,lt
Luksemburg,2586,602 005,233.7,Luksemburg,true,Państwo niepodległe,lu
Łotwa,64589,1 862 700,29,Ryga,true,Państwo niepodległe,lv
Macedonia Północna,25713,2 103 721,80.1,Skopje,false,Państwo niepodległe,mk
Malta,316,445 426,1.41,Valletta,true,Państwo niepodległe,mt
Mołdawia,33851,3 434 547,101.5,Kiszyniów,false,Państwo niepodległe,md
Monako,2,38 400,18.713,Monako,false,Państwo niepodległe,mc
Niemcy,357022,82 800 000,232,Berlin,true,Państwo niepodległe,de
Norwegia,323802,5 295 619,15.8,Oslo,false,Państwo niepodległe,no
Polska,312685,38 422 346,123.5,Warszawa,true,Państwo niepodległe,pl
Portugalia,92090,10 379 537,115,Lizbona,true,Państwo niepodległe,pt
Rosja,4425400,144 526 636,8.4,Moskwa,false,Państwo niepodległe,ru
Rumunia,238391,18 999 642,84.4,Bukareszt,true,Państwo niepodległe,ro
San Marino,61,33 285,520,San Marino,false,Państwo niepodległe,sm
Serbia,88361,7 040 272,91.1,Belgrad,false,Państwo niepodległe,sr
Słowacja,49035,5 435 343,111,Bratysława,true,Państwo niepodległe,sk
Słowenia,20273,2 066 880,101.8,Lublana,true,Państwo niepodległe,si
Szwajcaria,41277,8 401 120,202,Berno,false,Państwo niepodległe,ch
Szwecja,450295,10 151 588,22.5,Sztokholm,true,Państwo niepodległe,se
Turcja,23600,84 680 273,106.7,Ankara,false,Państwo niepodległe,tr
Ukraina,603550,42 418 235,73.8,Kijów,false,Państwo niepodległe,ua
Watykan,0.49,500,2.272,Watykan,false,Państwo niepodległe,va
Węgry,93028,9 797 561,105.3,Budapeszt,true,Państwo niepodległe,hu
Wielka Brytania,243610,68 265 209,281,Londyn,false,Państwo niepodległe,uk
Włochy,301340,58 968 501,195.7,Rzym,true,Państwo niepodległe,it
Kosowo,10908,1 920 079,159,Prisztina,false,Państwo de facto niepodległe,path2228
Azerbejdżan,86600,8 823 054,113,Baku,false,Państwo niepodległe,az
Gruzja,69700,3 718 200,53.5,Tbilisi,false,Państwo niepodległe,ge