Powiat,Siedziba władz powiatu,Samochodowe tablice rejestracyjne,Województwo,Powierzchnia [km2],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km2],Przyrost rzeczywisty,id
powiat nowosolski,Nowa Sól,FNW,lubuskie,770.73,86 014,111.60,-4.28,path148
powiat nowotarski,Nowy Targ,KNT. JNT[c],małopolskie,1 474.99,191 882,130.09,1.11,path66
powiat nowotomyski,Nowy Tomyśl,PNT. MNT[c],wielkopolskie,1 013.62,75 675,74.66,2.89,path502
Nowy Sącz,miasto na prawach powiatu,KN. JN[c],małopolskie,57.58,83 762,1 454.71,-0.61,path72
powiat nyski,Nysa,ONY,opolskie,1 223.88,135 524,110.73,-6.37,path18
powiat obornicki,Oborniki,POB. MOB[c],wielkopolskie,711.04,59 826,84.14,0.12,path522
powiat olecki,Olecko,NOE,warmińsko-mazurskie,873.60,34 050,38.98,-6.74,path388
powiat oleski,Olesno,OOL,opolskie,973.38,64 167,65.92,-3.79,path8
powiat oleśnicki,Oleśnica,DOL. VOL[c],dolnośląskie,1 049.31,107 328,102.28,2.22,path30
powiat olkuski,Olkusz,KOL. JOL[c],małopolskie,618.11,110 900,179.42,-6.76,path40
Olsztyn,miasto na prawach powiatu,NO,warmińsko-mazurskie,88.33,171 853,1 945.58,-1.98,path406
powiat olsztyński,Olsztyn,NOL,warmińsko-mazurskie,2 838.02,127 205,44.82,6.89,path404
powiat oławski,Oława,DOA. VOA[c],dolnośląskie,524.10,76 831,146.60,1.41,path28
powiat opatowski,Opatów,TOP,świętokrzyskie,910.90,51 834,56.90,-9.59,path690
powiat opoczyński,Opoczno,EOP,łódzkie,1 040.19,75 847,72.92,-6.25,path642
Opole,miasto na prawach powiatu,OP,opolskie,148.88,128 012,859.83,-1.53,path16
powiat opolski,Opole Lubelskie,LOP,lubelskie,810.02,58 952,72.78,-9.39,path646
powiat opolski,Opole,OPO,opolskie,1 534.30,123 813,80.70,2.64,path14
powiat ostrołęcki,Ostrołęka,WOS. AOS[c],mazowieckie,2 093.55,88 624,42.33,-1.05,path332
Ostrołęka,miasto na prawach powiatu,WO. AO,mazowieckie,33.46,51 893,1 550.9,-3.42,path334
powiat ostrowiecki,Ostrowiec Świętokrzyski,TOS,świętokrzyskie,616.78,108 436,175.81,-9.83,path688
powiat ostrowski,Ostrów Wielkopolski,POS. MOS[c],wielkopolskie,1 160.12,161 581,139.28,0.34,path748
powiat ostrowski,Ostrów Mazowiecka,WOR. AOR[c],mazowieckie,1 217.79,72 091,59.20,-6.44,path336
powiat ostródzki,Ostróda,NOS. NOT[d]. NOX[d],warmińsko-mazurskie,1 766.29,103 895,58.82,-6.04,path416
powiat ostrzeszowski,Ostrzeszów,POT. MOT[c],wielkopolskie,772.63,55 436,71.75,0.58,path746
powiat oświęcimski,Oświęcim,KOS. JOS[c],małopolskie,405.58,153 125,377.55,-3.30,path60
powiat otwocki,Otwock,WOT. AOT[c],mazowieckie,615.92,124 460,202.07,1.76,path330
powiat pabianicki,Pabianice,EPA,łódzkie,492.18,119 225,242.24,-0.29,path628
powiat pajęczański,Pajęczno,EPJ,łódzkie,803.82,51 071,63.54,-5.57,path708
powiat parczewski,Parczew,LPA,lubelskie,952.20,34 590,36.33,-6.29,path308
powiat piaseczyński,Piaseczno,WPI. WPA[b]. WPW[b]. WPX[c],mazowieckie,621.00,189 516,305.18,16.39,path584
Piekary Śląskie,miasto na prawach powiatu,SPI. IPI[c],śląskie,39.98,54 860,1 372.19,-4.14,path220
powiat pilski,Piła,PP. MP[c],wielkopolskie,1 268.21,135 928,107.18,-2.44,path510
powiat pińczowski,Pińczów,TPI,świętokrzyskie,612.85,38 691,63.13,-10.46,path678
powiat piotrkowski,Piotrków Trybunalski,EPI,łódzkie,1 428.74,91 360,63.94,0.90,path698
Piotrków Trybunalski,miasto na prawach powiatu,EP,łódzkie,67.24,72 785,1 082.47,-7.97,path700
powiat piski,Pisz,NPI,warmińsko-mazurskie,1 774.58,55 952,31.53,-6.68,path398
powiat pleszewski,Pleszew,PPL,wielkopolskie,713.07,62 962,88.30,-2.52,path756
Płock,miasto na prawach powiatu,WP. AP[c],mazowieckie,88.04,118 989,1 351.53,-6.01,path474
powiat płocki,Płock,WPL. APL[c],mazowieckie,1 796.63,110 927,61.74,-0.54,path472
powiat płoński,Płońsk,WPN. APN[c],mazowieckie,1 379.79,86 868,62.96,-3.61,path576
powiat poddębicki,Poddębice,EPD,łódzkie,881.21,41 037,46.57,-3.52,path622
powiat policki,Police,ZPL,zachodniopomorskie,665.33,81 229,122.09,15.78,path98
powiat polkowicki,Polkowice,DPL. VPL[c],dolnośląskie,779.46,63 082,80.93,2.13,path168
Poznań,miasto na prawach powiatu,PO. PY. MO[c]. MY[c]. PX[d]. MX[d],wielkopolskie,261.91,533 830,2 038.22,-3.68,path516
powiat poznański,Poznań,PZ. POZ[h]. MZ[c]. MOZ[c],wielkopolskie,1 899.88,403 417,212.34,22.50,path512
powiat proszowicki,Proszowice,KPR. JPR[c],małopolskie,414.87,43 160,104.03,-4.7,path44
powiat prudnicki,Prudnik,OPR,opolskie,571.55,55 091,96.39,-4.23,path20
powiat pruszkowski,Pruszków,WPR. WPP[b]. WPS[b]. APR[c]. APP[c]. APS[c],mazowieckie,246.30,166 436,675.75,8.46,path594
powiat przasnyski,Przasnysz,WPZ. APZ[c],mazowieckie,1 218.62,52 355,42.96,-6.09,path348
powiat przemyski,Przemyśl,RPR. YPR[c],podkarpackie,1 211.22,73 968,61.07,-3.58,path260
Przemyśl,miasto na prawach powiatu,RP. YP[c],podkarpackie,46.17,60 442,1 309.12,-9.13,path262
powiat przeworski,Przeworsk,RPZ. YPZ[c],podkarpackie,698.02,78 227,112.07,-1.62,path272
powiat przysuski,Przysucha,WPY. APY[c],mazowieckie,801.19,41 360,51.62,-8.65,path612
powiat pszczyński,Pszczyna,SPS. IPS[c],śląskie,471.16,111 682,237.04,3.22,path202
powiat pucki,Puck,GPU. XPU[c],pomorskie,581.18,87 183,150.01,11.37,path430
powiat puławski,Puławy,LPU,lubelskie,934.09,112 835,120.80,-5.34,path310
powiat pułtuski,Pułtusk,WPU. APU[c],mazowieckie,827.42,51 817,62.62,-0.87,path574
powiat pyrzycki,Pyrzyce,ZPY,zachodniopomorskie,726.00,39 251,54.06,-5.85,path118
powiat raciborski,Racibórz,SRC. IRC[c],śląskie,543.76,107 926,198.48,-4.26,path194
Radom,miasto na prawach powiatu,WR. AR[c],mazowieckie,111.80,210 532,1 883.11,-8.00,path604
powiat radomski,Radom,WRA. ARA[c],mazowieckie,1 529.78,152 237,99.52,0.31,path602
powiat radomszczański,Radomsko,ERA,łódzkie,1 442.57,112 255,77.82,-6.29,path712
powiat radziejowski,Radziejów,CRA,kujawsko-pomorskie,607.20,40 211,66.22,-8.26,path570
powiat radzyński,Radzyń Podlaski,LRA,lubelskie,965.06,58 604,60.73,-7.67,path312
powiat rawicki,Rawicz,PRA. MRA[c],wielkopolskie,553.52,60 233,108.82,-1.84,path514
powiat rawski,Rawa Mazowiecka,ERW,łódzkie,646.20,48 504,75.06,-2.88,path616
powiat ropczycko-sędziszowski,Ropczyce,RRS. YRS[c],podkarpackie,548.31,74 582,136.02,2.23,path662
Ruda Śląska,miasto na prawach powiatu,SRS[i]. SL[j]. IRS[c]. IL[c],śląskie,77.73,137 030,1 762.90,-4.32,path222
powiat rybnicki,Rybnik,SRB. IRB[c],śląskie,223.64,78 216,349.74,0.87,path210
Rybnik,miasto na prawach powiatu,SR. IR[c],śląskie,148.36,137 782,928.70,-3.88,path208
powiat rycki,Ryki,LRY,lubelskie,614.53,55 841,90.87,-1.39,path318
powiat rypiński,Rypin,CRY,kujawsko-pomorskie,586.47,43 408,74.02,-4.81,path544
powiat rzeszowski,Rzeszów,RZE. RZZ[b]. RZR[c]. YZE[c]. YZZ[c]. YZR[c],podkarpackie,1 147.13,169 986,148.18,8.14,path264
Rzeszów,miasto na prawach powiatu,RZ. YZ[c],podkarpackie,126.61,196 821,1 554.55,9.93,path266
powiat sandomierski,Sandomierz,TSA,świętokrzyskie,675.89,76 736,113.53,-7.96,path672
powiat sanocki,Sanok,RSA. YSA[c],podkarpackie,1 156.43,94 166,81.43,-3.25,path256
powiat sejneński,Sejny,BSE,podlaskie,855.17,19 807,23.16,-9.75,path370
powiat sępoleński,Sępólno Krajeńskie,CSE,kujawsko-pomorskie,791.09,40 922,51.73,-3.24,path560
Siedlce,miasto na prawach powiatu,WS. AS[c],mazowieckie,31.86,78 258,2 456.31,3.44,path324
powiat siedlecki,Siedlce,WSI. ASI[c],mazowieckie,1 603.48,81 402,50.77,1.69,path322
Siemianowice Śląskie,miasto na prawach powiatu,SI. II[c],śląskie,25.50,66 587,2 611.25,-5.62,path230
powiat siemiatycki,Siemiatycze,BSI,podlaskie,1 459.46,43 910,30.09,-10.28,path352
powiat sieradzki,Sieradz,ESI,łódzkie,1 490.83,117 370,78.73,-4.85,path710
powiat sierpecki,Sierpc,WSE. ASE[c],mazowieckie,852.04,51 744,60.73,-6.39,path470
powiat skarżyski,Skarżysko-Kamienna,TSK,świętokrzyskie,395.43,73 567,186.04,-10.44,path684
Skierniewice,miasto na prawach powiatu,ES,łódzkie,34.60,47 932,1 385.32,-3.62,path644
powiat skierniewicki,Skierniewice,ESK,łódzkie,753.38,38 156,50.65,-1.23,path640
powiat sławieński,Sławno,ZSL,zachodniopomorskie,1 043.20,56 010,53.69,-3.93,path82
powiat słubicki,Słubice,FSL,lubuskie,999.29,46 897,46.93,-2.57,path128
powiat słupecki,Słupca,PSL. MSL[c],wielkopolskie,838.01,59 029,70.44,-3.66,path482
Słupsk,miasto na prawach powiatu,GS. XS[c],pomorskie,43.15,90 320,2 093.16,-4.95,path438
powiat słupski,Słupsk,GSL. XSL[c],pomorskie,2 304.24,98 781,42.87,-0.12,path436
powiat sochaczewski,Sochaczew,WSC. ASC[c],mazowieckie,734.80,85 001,115.68,-0.27,path590
powiat sokołowski,Sokołów Podlaski,WSK. ASK[c],mazowieckie,1 131.17,53 617,47.40,-6.95,path338
powiat sokólski,Sokółka,BSK,podlaskie,2 054.50,66 286,32.26,-11.47,path364
Sopot,miasto na prawach powiatu,GSP. XSP[c],pomorskie,17.28,35 562,2 057.99,-7.40,path442
Sosnowiec,miasto na prawach powiatu,SO. IO[c],śląskie,91.06,198 996,2 185.33,-10.57,path728
powiat stalowowolski,Stalowa Wola,RST. YST[c],podkarpackie,831.74,105 850,127.26,-3.97,path654
powiat starachowicki,Starachowice,TST,świętokrzyskie,523.41,89 152,170.33,-8.60,path686
powiat stargardzki,Stargard,ZST,zachodniopomorskie,1 519.94,120 151,79.05,0.52,path112
powiat starogardzki,Starogard Gdański,GST. XST[b],pomorskie,1 345.34,128 264,95.34,1.63,path456
powiat staszowski,Staszów,TSZ,świętokrzyskie,924.80,71 574,77.33,-5.92,path670
powiat strzelecki,Strzelce Opolskie,OST,opolskie,744.27,74 171,99.66,-3.88,path10
powiat strzelecko-drezdenecki,Strzelce Krajeńskie,FSD,lubuskie,1 247.86,48 855,39.15,-6.12,path132
powiat strzeliński,Strzelin,DST. VST[c],dolnośląskie,622.06,43 456,69.86,-5.88,path734
powiat strzyżowski,Strzyżów,RSR. YSR[c],podkarpackie,503.47,61 295,121.75,-3.41,path664
powiat sulęciński,Sulęcin,FSU,lubuskie,1 177.80,35 110,29.81,-3.63,path130
powiat suski,Sucha Beskidzka,KSU. JSU[c],małopolskie,685.71,84 197,122.79,0.44,path64
powiat suwalski,Suwałki,BSU,podlaskie,1307.00,35 606,27.24,-2.33,path372
Suwałki,miasto na prawach powiatu,BS,podlaskie,65.51,69 786,1 065.27,-1.03,path374
powiat szamotulski,Szamotuły,PSZ. MSZ[c],wielkopolskie,1 119.29,91 720,81.94,4.57,path504
Szczecin,miasto na prawach powiatu,ZS. ZZ[c],zachodniopomorskie,300.60,400 990,1 333.97,-2.68,path114
powiat szczecinecki,Szczecinek,ZSZ,zachodniopomorskie,1 765.42,77 394,43.84,-4.34,path104
powiat szczycieński,Szczytno,NSZ,warmińsko-mazurskie,1 933.21,69 263,35.83,-5.96,path402
powiat sztumski,Sztum,GSZ. XSZ[c],pomorskie,730.74,41 141,56.30,-8.08,path454
powiat szydłowiecki,Szydłowiec,WSZ. ASZ[c],mazowieckie,451.81,39 547,87.53,-5.51,path614
powiat średzki,Środa Wielkopolska,PSR. MSR[c],wielkopolskie,623.86,59 033,94.63,6.29,path490
powiat średzki,Środa Śląska,DSR. VSR[c],dolnośląskie,704.14,55 356,78.62,12.99,path180
powiat śremski,Śrem,PSE. MSE[c],wielkopolskie,574.10,61 455,107.05,2.48,path492
powiat świdnicki,Świdnik,LSW,lubelskie,468.35,71 739,153.17,-2.20,path294
powiat świdnicki,Świdnica,DSW. VSW[c],dolnośląskie,741.14,156 550,211.23,-4.00,path186
powiat świdwiński,Świdwin,ZSD,zachodniopomorskie,1 093.06,46 526,42.56,-10.02,path108
powiat świebodziński,Świebodzin,FSW,lubuskie,936.57,55 678,59.45,-1.35,path142
powiat świecki,Świecie,CSW,kujawsko-pomorskie,1 474.18,98 930,67.11,-2.26,path554
Świętochłowice,miasto na prawach powiatu,SW. IW[c],śląskie,13.31,49 363,3 708.72,-8.02,path226
Świnoujście,miasto na prawach powiatu,ZSW,zachodniopomorskie,202.07,40 864,202.23,-0.46,path96
Tarnobrzeg,miasto na prawach powiatu,RT. YT[c],podkarpackie,85.40,46 588,545.53,-6.80,path658
powiat tarnobrzeski,Tarnobrzeg,RTA. YTA[c],podkarpackie,521.06,52 871,101.47,-4.59,path656
powiat tarnogórski,Tarnowskie Góry,STA. ITA[b],śląskie,644.19,140 799,218.57,5.55,path216
powiat tarnowski,Tarnów,KTA. JTA[c],małopolskie,1 411.58,201 454,142.72,-0.27,path78
Tarnów,miasto na prawach powiatu,KT. JT[c],małopolskie,72.38,108 177,1 494.57,-3.71,path80
powiat tatrzański,Zakopane,KTT. JTT[c],małopolskie,471.65,68 120,144.43,-0.22,path68
powiat tczewski,Tczew,GTC. XTC[c],pomorskie,697.11,115 641,165.89,-0.84,path450
powiat tomaszowski,Tomaszów Mazowiecki,ETM,łódzkie,1 024.79,116 141,113.33,-9.75,path702
powiat tomaszowski,Tomaszów Lubelski,LTM,lubelskie,1 488.89,82 337,55.30,-5.99,path284
Toruń,miasto na prawach powiatu,CT,kujawsko-pomorskie,115.72,201 106,1 737.87,-3.43,path540
powiat toruński,Toruń,CTR,kujawsko-pomorskie,1 230.42,108 938,88.54,12.05,path538
powiat trzebnicki,Trzebnica,DTR. VTR[c],dolnośląskie,1 024.78,85 401,83.34,3.63,path740
powiat tucholski,Tuchola,CTU,kujawsko-pomorskie,1 075.46,48 338,44.95,0.19,path558
powiat turecki,Turek,PTU. MTU[k],wielkopolskie,929.43,83 818,90.18,-2.14,path754
Tychy,miasto na prawach powiatu,ST. IT[c],śląskie,81.81,127 307,1 556.13,-2.80,path204
powiat wadowicki,Wadowice,KWA. JWA[b],małopolskie,645.88,159 971,247.68,-0.68,path62
Wałbrzych,miasto na prawach powiatu,DB. VB[c],dolnośląskie,84.7,110 603,1 305.82,-11.56,path762
powiat wałbrzyski,Wałbrzych,DBA. VBA[c],dolnośląskie,430.22,55 414,128.80,-7.27,path760
powiat wałecki,Wałcz,ZWA,zachodniopomorskie,1 414.98,52 929,37.41,-7.43,path106
Warszawa,miasto na prawach powiatu,WA. WB. WD. WE. WF. WH. WI. WJ. WK. WN. WT. WU. WW. WX. WY. AA[c]. AB[c]. AD[c]. AE[c]. AF[c]. AH[c]. AI[c]. AJ[c]. AK[c]. AN[c]. AT[c]. AU[c]. AW[c]. AX[c]. AY[c][g],mazowieckie,517.24,1 793 579,3 467.60,5.75,path582
powiat warszawski zachodni,Ożarów Mazowiecki,WZ. AZ[c],mazowieckie,533.79,119 503,223.88,14.60,path588
powiat wąbrzeski,Wąbrzeźno,CWA,kujawsko-pomorskie,501.95,34 115,67.96,-5.31,path548
powiat wągrowiecki,Wągrowiec,PWA. MWA[c],wielkopolskie,1 039.65,70 216,67.54,-1.21,path524
powiat wejherowski,Wejherowo,GWE. GWO[b]. XWE[c]. XWO[c],pomorskie,1 285.25,218 766,170.21,9.24,path432
powiat węgorzewski,Węgorzewo,NWE,warmińsko-mazurskie,693.22,22 555,32.54,-10.57,path392
powiat węgrowski,Węgrów,WWE. AWE[c],mazowieckie,1 220.76,65 641,53.77,-6.00,path340
powiat wielicki,Wieliczka,KWI. JWI[c],małopolskie,410.78,129 984,316.43,15.74,path50
powiat wieluński,Wieluń,EWI,łódzkie,926.48,76 081,82.12,-5.17,path706
powiat wieruszowski,Wieruszów,EWE,łódzkie,577.13,42 050,72.86,-2.70,path742
Włocławek,miasto na prawach powiatu,CW,kujawsko-pomorskie,84.32,109 347,1 296.81,-8.52,path530
powiat włocławski,Włocławek,CWL,kujawsko-pomorskie,1 473.63,85 893,58.29,-2.76,path528
powiat włodawski,Włodawa,LWL,lubelskie,1 256.42,38 207,30.41,-8.23,path302
powiat włoszczowski,Włoszczowa,TLW,świętokrzyskie,907.86,44 933,49.49,-4.52,path694
powiat wodzisławski,Wodzisław Śląski,SWD. SWZ[c]. IWD[c]. IWZ[c],śląskie,286.75,156 939,547.30,-2.59,path196
powiat wolsztyński,Wolsztyn,PWL. MWL[c],wielkopolskie,679.73,57 534,84.64,3.21,path500
powiat wołomiński,Wołomin,WWL. WV[b]. AWL[c]. AV[c],mazowieckie,953.56,251 276,263.51,16.13,path342
powiat wołowski,Wołów,DWL. VWL[c],dolnośląskie,674.96,46 725,69.23,-4.03,path178
Wrocław,miasto na prawach powiatu,DW. DX. VW[c]. VX[c],dolnośląskie,292.82,643 782,2 198.56,3.39,path738
powiat wrocławski,Wrocław,DWR. VWR[b],dolnośląskie,1 117.70,153 876,137.67,35.07,path736
powiat wrzesiński,Września,PWR. MWR[c],wielkopolskie,703.57,78 089,110.99,3.46,path488
powiat wschowski,Wschowa,FWS,lubuskie,624.20,38 787,62.14,-4.44,path172
powiat wysokomazowiecki,Wysokie Mazowieckie,BWM,podlaskie,1 288.91,56 652,43.95,-6.99,path358
powiat wyszkowski,Wyszków,WWY. AWY[c],mazowieckie,876.43,74 283,84.76,2.55,path344
Zabrze,miasto na prawach powiatu,SZ. IZ[c],śląskie,80.40,171 691,2 135.46,-6.45,path218
powiat zambrowski,Zambrów,BZA,podlaskie,733.12,43 390,59.19,-6.25,path384
powiat zamojski,Zamość,LZA,lubelskie,1 870.29,105 839,56.59,-6.45,path280
Zamość,miasto na prawach powiatu,LZ,lubelskie,30.34,63 223,2 083.82,-4.53,path282
powiat zawierciański,Zawiercie,SZA. IZA[c],śląskie,1 002.23,117 137,116.88,-7.48,path732
powiat ząbkowicki,Ząbkowice Śląskie,DZA. VZA[c],dolnośląskie,801.53,64 486,80.45,-9.49,path190
powiat zduńskowolski,Zduńska Wola,EZD,łódzkie,369.23,66 232,179.38,-4.76,path624
powiat zgierski,Zgierz,EZG,łódzkie,855.18,166 154,194.29,1.04,path636
powiat zgorzelecki,Zgorzelec,DZG. VZG[c],dolnośląskie,838.60,88 770,105.85,-9.40,path150
Zielona Góra,miasto na prawach powiatu,FZ,lubuskie,278.32,141 280,507.62,2.88,path140
powiat zielonogórski,Zielona Góra,FZI,lubuskie,1 349.75,75 646,56.04,0.26,path138
powiat złotoryjski,Złotoryja,DZL. VZL[c],dolnośląskie,575.81,43 274,75.15,-10.18,path162
powiat złotowski,Złotów,PZL. MZL[c],wielkopolskie,1 660.17,69 282,41.73,-3.21,path508
powiat zwoleński,Zwoleń,WZW. AZW[c],mazowieckie,573.30,36 026,62.84,-5.41,path606
powiat żagański,Żagań,FZG,lubuskie,1 131.82,78 634,69.48,-8.36,path146
powiat żarski,Żary,FZA,lubuskie,1 392.78,95 801,68.78,-7.20,path144
powiat żniński,Żnin,CZN,kujawsko-pomorskie,984.77,70 070,71.15,-2.34,path532
Żory,miasto na prawach powiatu,SZO. IZO[c],śląskie,64.64,62 670,969.52,3.33,path200
powiat żuromiński,Żuromin,WZU. AZU[c],mazowieckie,806.60,38 337,47.53,-9.07,path468
powiat żyrardowski,Żyrardów,WZY. AZY[c],mazowieckie,532.54,75 616,141.99,-2.26,path610
powiat żywiecki,Żywiec,SZY. IZY[c],śląskie,1 040.06,152 450,146.58,-2.79,path244
